name,region,variety,rating,notes
Aalto 2012,"Ribera del Duero, Spain",Red Wine,94,#6 
Aalto 2013,"Ribera del Duero, Spain",Red Wine,93,"This wine's elegance and fruitful presence perfectly displays the vintage's Atlantic influence. In the nose, it offers freshness and a sharp minerality highlighting its complexity. On the palate, you experience excellence structure that is both round and sweet, with silky and persistent tannins, perfectly merged with the acidity and alcohol. It's a complex and long wine that keeps its presence in the mouth, exhibiting a wide range of flavors."
Aalto 2014,"Ribera del Duero, Spain",Red Wine,92,"Dark purple. The nose has intense fruit aromas with wood in the background, bringing complexity without detracting from the sense of freshness. The palate is broad, structured and elegant as befits such exceptional phenolic maturity, with no hard edges and a tannic structure in perfect harmony with alcohol and acidity. The typical flavors of the Tempranillo are all present ? licorice, black fruits and roasted coffee, alongside spices and fresh tobacco ? provided by an impeccable wood aging. This wine is very long and will no doubt gain in complexity over the years."
Aalto 2015,"Ribera del Duero, Spain",Red Wine,93,"A voluminous Ribera del Duero showing winemaker Mariano Garcia's deft hand at capturing both the power and grace of a variety, Tinto Fino, that tends towards rusticity in the hot climate of the region."
Aalto 2016,"Ribera del Duero, Spain",Red Wine,95,"Deep purple red color, as corresponds to old Tempranillo grapes. On the nose we perceive good fruit intensity, a great deal of freshness and hints of well integrated wood. On the palate is complex, structured and elegant, with typical tints of licorice, coffee, tobacco, black fruits and spices, always within the personality of the AALTO style. This wine has a sweet character and could be drunk from the first moment, because it is shown rounded, with enveloping and balanced tannins, and showing a good acidity. AALTO 2016 will gain complexity over the years."
Aalto PS 2011,"Ribera del Duero, Spain",Red Wine,94,"AALTO PS, being made from a selection of our best vineyards, is always intense, powerful, concentrated and long. This AALTO PS 2011 exhibits a very dark color, staining the glass, and a panoply of aromas: flinty soils, toasted bread, licorice, spices and black fruit. On the palate, its acidity teams up with the alcohol to counterbalance the abundant tannins, resulting in a perfectly structured wine of considerable elegance and finesse. The careful use of new French oak over 22 months has lent an array of sapid tones that enhances the Tempranillo typicity in a great vintage. This wine has a good ageing potential and will develop in the bottle for quite a long time, probably 15 to 20 years, if properly cellared.  "
Aalto PS 2013,"Ribera del Duero, Spain",Red Wine,95,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's?best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80?100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuv?e, the PS is more intense with tremendous structure and length that rewards patience resting either in your?cellar or a decanter. "
Aalto PS 2014,"Ribera del Duero, Spain",Red Wine,94,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80?100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuv?e, the PS is more intense with tremendous structure and length that rewards patience resting either in your cellar or a decanter. "
Aalto PS 2015,"Ribera del Duero, Spain",Red Wine,95,"Aalto PS (Pagos Seleccionada) is made only in the best vintages. It is sourced from Aalto's best sites (Pagos) located near the villages of La Horra, La Aguilera and Fresnillo. These vineyards are between 80?100 years old. This wine is aged entirely in new French oak for 20 months. As dense as the regular cuv?e, the PS is more intense with tremendous structure and length that rewards patience resting either in your cellar or a decanter."
Aaron Wines Petite Sirah 2015,"Paso Robles, Central Coast, California",Red Wine,93,"Deep aromatics of cherry liqueur, cassis, licorice, and smoked meats complement a huge palate of dark fruits, pepper, spice, and floral notes."
Abacela Albarino 2008,"Umpqua Valley, Oregon",White Wine,87,"This Galician style wine exhibits aromas and flavors of crisp apples and pears, orange, pineapple, and delicate white flowers all carried on a frame that skirts the razors edge between creamy textures and steely minerality."
Abacela Albarino 2009,"Umpqua Valley, Oregon",White Wine,90,"This Galician style wine exhibits aromas and flavors of crisp golden apples, citrus fruits, fleshy peach, almonds, and delicate white flowers all carries on a frame that skirts the razors edge between creamy textures and steely minerality."
Abacela Albarino 2010,"Umpqua Valley, Oregon",White Wine,90,"The cool conditions on our estate's north facing hillsides allow this beautiful grape to slowly ripen while retaining its lively acidity. This Galician style wine exhibits aromas and flavors of crisp apples and pears, orange, pineapple, and delicate white flowers all carried on a frame that skirts the razors edge between creamy textures and steely minerality. "
Abacela Albarino 2014,"Umpqua Valley, Oregon",White Wine,89,"Albari?o is a delicate Spanish white grape that ripens gracefully in our estate vineyards. It produces an assertive, dry wine characterized by beautiful floral and citrus aromas with flavors of pear, apple and citrus. The finish is mouth coating with refreshing acidity."
Abacela Albarino 2019,"Umpqua Valley, Oregon",White Wine,91,"Another fantastic vintage of Abacela's famous Albarino. This crisp and aromatic masterpiece provides green apple, pineapple, pear, and a lemon-lime component. The beautiful floral aromas and bright acidity make this wine perfect for many dishes, especially seafood!"
Abacela Estate Tempranillo 2006,"Umpqua Valley, Oregon",Red Wine,91,"Our estate vineyards in Southern Oregon's Umpqua Valley are an ideal terroir for this noble Spanish varietal. The 2006 vintage, the tenth release of our signature Tempranillo, is deeply colored and powerfully structured with intense aromas and flavors of ripe black fruits, savory spice, cassis, and smoke. Experience suggests this wine will age easily for five to seven years and offer a long plateau of maturity. If patience fails aeration is recommended. We also suggest saffron and pimenton dusted lamb with ch?vre and sun dried tomato-stuffed peppers."
Abacela Estate Tempranillo 2007,"Umpqua Valley, Oregon",Red Wine,90,"The eleventh release of our flagship Tempranillo continues the tradition of quality and excellence expected from our terroir. The penetrating color and compelling aromas allude to the concentration of flavor which follow. Ripe black fruits, savory spice, and well defined tannins convincingly whisper quality. This wine will imporve for six to eight years and offers a long plateau of maturity. Decanting is recommended."
Abacela Fiesta Tempranillo 2014,"Umpqua Valley, Oregon",Red Wine,91,"Their fruit driven Fiesta Tempranillo is a fantastic representation of vintage and terroir. Bright garnet in color, this wine opens with aromas of red fruit, cherry, plum and spice notes. This sleek and silky Tempranillo unfolds into flavors of black currant, mocha, French vanilla with a lush and velvety tannin. "
Abacela Fiesta Tempranillo 2015,"Umpqua Valley, Oregon",Red Wine,92,#61 
Abacela Fiesta Tempranillo 2016,"Umpqua Valley, Oregon",Red Wine,90,"This fruit driven Fiesta Tempranillo is a fantastic representation of vintage and terroir. Bright garnet in color, this wine opens with aromas of red fruit, cherry, plum and spice notes. This sleek and silky Tempranillo unfolds into flavors of black currant, mocha, French vanilla with a lush and velvety tannin."
Abacela Grenache Rose 2014,"Umpqua Valley, Oregon",Pink and Ros?,89,"The color of ruby red grapefruit, this dry Ros? displays notes of strawberries, watermelon and roses, coupled with flavors of cherries, apple skins and hints of citrus peel. The balanced acidity and lengthy finish define the complexity and minerality of this wine. "
Abadia Retuerta Cuvee El Campanario 1997,"Ribera del Duero, Spain",Red Wine,90,"""The 1997 Cuvee El Campanario (100% Tempranillo) reveals great intensity, ripeness, and richness. Made from some of this huge estate's finest Tempranillo parcels, its dark ruby color is followed by sweet, jammy, black raspberry fruit aromas with notes of licorice and toasty oak."" "
Abadia Retuerta Le Domaine Blanco 2015,Spain,White Wine,91,"Bright and straw-coloured with golden hues. Its' nose is complex, intense and fruity; reminiscent of other grape varieties, with hints of pineapple and grapefruit, toast, butter and bakery. After 5 to 6 months of ageing in French Oak barrels, a fresh, citric, smoky, and slightly spiced flavor is achieved. It is a wine with body, just the right notes of wood, unctuous, with a long, fresh and delicate finish. It is a faithful reflection of our personality and has huge potential for laying down."
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009,Spain,Red Wine,90,"This single vineyard wine was produced exclusively with Syrah grapes. The vines are planted in bright, white limestone soil in the middle of pine trees that protect the vineyard from strong winds. The grapes produced here reach perfect ripeness levels."
Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010,Spain,Red Wine,90,"This single vineyard wine was produced exclusively with Syrah grapes. The vines are planted in bright, white limestone soil in the middle of pine trees that protect the vineyard from strong winds. The grapes produced here reach perfect ripeness levels."
Abadia Retuerta Pago Negralada Tempranillo 2009,Spain,Red Wine,90,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2010,Spain,Red Wine,92,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2011,Spain,Red Wine,91,"Impressive color in the glass, intense and young. Opens up on the nose, offering very clean notes of wild herbs and ripe (almost preserve) red fruit (wild strawberry, raspberry and cherry), delicately creamy. In the mouth, the attack is very smooth,moving immediately on to unveil a very deep wine, fleshy and structured, with an impacting return to the fruit, although the highlight is perhaps its noblesse, maturity and refined tannins. Bold, persistent and full of character. A great wine, a wine ofdistinction."
Abadia Retuerta Pago Negralada Tempranillo 2012,Spain,Red Wine,90,"Intense color in the glass. Fresh black fruit on the nose: blackberries that fuse together on a backdrop of shrubs, aromatic herbs, palulu and light notes of cocoa. In the mouth, it is big but smooth, with a fully developed, well-rounded tanning. Velvety with a long, persistent finish."
Abadia Retuerta Pago Negralada Tempranillo 2013,Spain,Red Wine,91,"ago Negralada comes from a plot of Tempranillo, the noblest Spanish grape variety. The vines are planted in deep gravel soils intermixed with sand at the surface, and produce wines with a distinctive firm, tannic character. "
Abadia Retuerta Pago Negralada Tempranillo 2014,Spain,Red Wine,90,"Intense color in the glass. Fresh black fruit on the nose: blackberries that fuse together on a backdrop of shrubs, aromatic herbs, palulu and light notes of cocoa. In the mouth, it is big but smooth, with fully developed, well-rounded tannins. Velvety with a long, persistent finish."
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009,Spain,Red Wine,90,"This exceptional Cabernet Sauvignon comes from a limestone-rich terroir blessed with its own microclimate. After a complete maceration, it spent sixteen months developing its potential in new oak barrels. Dark color, which gives off a delicate air of sweet spices, exotic fruit, mineral flavors, which together show us its generous, yet at the same time complex, body. On the palate, well assembled and persistent, promising a great ageing potential."
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2010,Spain,Red Wine,92,"This exceptional Cabernet Sauvignon comes from a limestone-rich terroir blessed with its own microclimate. After a complete maceration, it spent sixteen months developing its potential in new oak barrels. Dark color, which gives off a delicate air of sweet spices, exotic fruit, mineral flavors, which together show us its generous, yet at the same time complex, body. On the palate, well assembled and persistent, promising a great ageing potential."
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2011,Spain,Red Wine,94,"Dark color. Complex and powerful on the nose, highlights of balsamic notes, wild aromatic herbs and spices (black pepper and clove). It opens up with aromas of toffee and After Eight mints. Fruity in the mouth, blackcurrant and orange marmalade preserve. The finish is slightly herby, in perfect unison with the explosion of oily fruit that floods the palate. Long, voluptuous and full of muscle. Exquisite future in the bottle. "
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013,Spain,Red Wine,91,"Dark color. Complex and powerful on the nose, highlights of balsamic notes, wild aromatic herbs and spices (black pepper and clove). It opens up with aromas of toffee and After Eight mints. Fruity in the mouth, blackcurrant and orange marmalade preserve. The finish is slightly herby, in perfect unison with the explosion of oily fruit that floods the palate. Long, voluptuous and full of muscle. Exquisite future in the bottle."
Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2014,Spain,Red Wine,92,"Dark color. Complex and powerful on the nose, highlights of balsamic notes, wild aromatic herbs and spices (black pepper and clove). It opens up with aromas of toffee and After Eight mints. Fruity in the mouth, blackcurrant and orange marmalade preserve. The finish is slightly herbal, in perfect unison with the explosion of oily fruit that floods the palate. Long, voluptuous and full of muscle. Exquisite future in the bottle."
Abadia Retuerta Rivola 1999,"Ribera del Duero, Spain",Red Wine,90,"A Cabernet Sauvignon/Tempranillo blend that is extracted, rich, and ripe with mint, plum, black olive and sage flavors.  Complex and unusual."
Abadia Retuerta Rivola 2000,"Ribera del Duero, Spain",Red Wine,88,"A Cabernet Sauvignon/Tempranillo blend that is extracted, rich, and ripe with mint, plum, black olive and sage flavors.  Complex and unusual."
Abadia Retuerta Rivola 2001,"Ribera del Duero, Spain",Red Wine,90,"An amazing bottle of wine for the price, this rich red wine consistently gets high marks from the wine critics.  Full of spicy, ripe fruit, how can you not afford to try a bottle or three at this price? "
Abadia Retuerta Rivola 2004,"Ribera del Duero, Spain",Red Wine,88,"R?vola is brilliant ruby in color with violet highlights. On the nose, the wine is fresh and generously fruity, with impressions of ripe raspberries, strawberries and wild cherries offset by notes of jasmine, spice and mint. The fragrance is confirmed on the palate, which is mellow, fresh and succulent, supported by clean, subtle, sweetly ripe tannins ending in a silky, elegant finish."
Abadia Retuerta Rivola 2005,"Ribera del Duero, Spain",Red Wine,87,"R?vola is brilliant ruby in color with violet highlights. On the nose, the wine is fresh and generously fruity, with impressions of ripe raspberries, strawberries and wild cherries offset by notes of jasmine, spice and mint. The fragrance is confirmed on the palate, which is mellow, fresh and succulent, supported by clean, subtle, sweetly ripe tannins ending in a silky, elegant finish."
Abadia Retuerta Rivola 2006,"Ribera del Duero, Spain",Red Wine,90,A blend of 60% Tempranillo and 40% Cabernet Sauvignon.
Abadia Retuerta Rivola 2008,Spain,Red Wine,88,"R?vola is brilliant ruby in color with violet highlights. On the nose, the wine is fresh and generously fruity, with impressions of ripe raspberries, strawberries and wild cherries offset by notes of jasmine, spice and mint. The fragrance is confirmed on the palate, which is mellow, fresh and succulent, supported by clean, subtle, sweetly ripe tannins ending in a silky, elegant finish."
Abadia Retuerta Seleccion Especial (1.5 Liter Magnum) 2015,Spain,Red Wine,92,"Dark red colour with a clean, complex and fresh nose. On the palate, it has an intense fruity touch, mainly of red fruits. Aged in French and American oak barrels, the wood infuses notes of cedar, pastry and dark roasting. It attacks the palate politely but firmly. "
Abadia Retuerta Seleccion Especial 1999,"Ribera del Duero, Spain",Red Wine,92,"A perfect example of why Spanish wines are growing in popularity. This blend of 75% Tempranillo, 20% Cabernet Sauvignon and 5% Merlot is utterly unique and delicious!  Dark, rich, and fruity with velvety tannins and a long finish, an amazing value."
Abadia Retuerta Seleccion Especial 2000,"Ribera del Duero, Spain",Red Wine,91,"This blend of 75% Tempranillo, 20% Cabernet Sauvignon and 5% Merlot is utterly unique and delicious!  Dark, rich, and fruity with velvety tannins and a long finish, for not much money. "
Abadia Retuerta Seleccion Especial 2005,"Ribera del Duero, Spain",Red Wine,90,"Selecci?n Especial is dense ruby-garnet in color, with a subtle, complex nose of ripe red berry and wild black cherries offset by notes of violet, menthol, spice and vanilla. Silky, ripe red fruits and hints of spice and mint predominate on the palate, with a full, harmonious balance underscored by refined tannins. The finish is finely textured and lingering."
Abadia Retuerta Seleccion Especial 2007,Spain,Red Wine,90,"Selecci?n Especial is dense ruby-garnet in color, with a subtle, complex nose of ripe red berry and wild black cherries offset by notes of violet, menthol, spice and vanilla. Silky, ripe red fruits and hints of spice and mint predominate on the palate, with a full, harmonious balance underscored by refined tannins. The finish is finely textured and lingering."
Abadia Retuerta Seleccion Especial 2009,Spain,Red Wine,90,"Excellent depth of color, reflecting the wine's young age. It is a garnet, black cherry hue. The aromas are find and clean. Jammy black fruits on the nose (wild blackberries, plums, morello cherries, strawberries, raspberries). Very mineral and balsamic, typical of the Duero terroir, with floral hints (violets and lilacs). Very spicy, revealing notes of nutmeg and subtle hints of cloves and bay leaf, with touches of chocolate, toffee and licorice coming through in the background. A firm mouth-feel, fresh, savory and balanced. Elegant tannins, superb length and a lingering finish enhance the wine's great individual character, without taking away any of its harmony."
Abadia Retuerta Seleccion Especial 2010,Spain,Red Wine,92,"In appearance, it shows off a lovely bigarreau cherry red robe with deep ruby hues. Very clean, direct and expressive in the nose, where fruit notes dominate the wood. Fragrances of blackberry, plum, wild strawberry and raspberry mingle with creamy lactic notes over a background of fine, exotic wood (sandalwood). On the palate it is soft, blossoming into an agreeable smoothness, generous in aroma, which makes it even more luscious and flavourful. In body, it displays the noticeably mature tannins along with the perfect touch of acidity that makes its finish bold and long-lasting. With its great personality, this 2010 is yet another example of consistency and maturity in a wine that never disappoints."
Abadia Retuerta Seleccion Especial 2011,Spain,Red Wine,92,#15 
Abadia Retuerta Seleccion Especial 2013,Spain,Red Wine,93,"Intense, mature nose with mineral aromas that give way to black fruit, such as blackberry and blackcurrant. Hints of licorice, redcurrant and cherries in liqueur on a backdrop of dark chocolate and subtle hints of a well-structured wood. Elegant in the mouth, well-balanced, voluptuous and silky, polished tannins with a wellbalanced acidity, long and lasting."
Abadia Retuerta Seleccion Especial 2012,Spain,Red Wine,93,#12 
Abadia Retuerta Seleccion Especial 2014,Spain,Red Wine,92,"Intense, mature nose with mineral aromas that give way to black fruit, such as blackberry and blackcurrant. Hints of licorice, redcurrant and cherries in liqueur on a backdrop of dark chocolate and subtle hints of a well-structured wood. Elegant in the mouth, well-balanced, voluptuous and silky, polished tannins with a wellbalanced acidity, long and lasting."
Abadia Retuerta Seleccion Especial 2015,Spain,Red Wine,92,"Dark red colour with a clean, complex and fresh nose. On the palate, it has an intense fruity touch, mainly of red fruits. Aged in French and American oak barrels, the wood infuses notes of cedar, pastry and dark roasting. It attacks the palate politely but firmly. "
Abadia Retuerta Seleccion Especial (Stained Label) 2011,Spain,Red Wine,92,#15 
Abbazia di Novacella Gewurztraminer 2007,"Trentino-Alto Adige, Italy",White Wine,90,"Typical white wine, elegant and aromatic, light green to golden yellow color. Spicy and decisive aroma and an intense and persistent flavors of citrus, honeydew melon, peach and clove among others. Perfect for crustaceans of any kind, white meats and great as an aperitif.       "
Abbazia di Novacella Gruner Veltliner 2017,"Alto Adige, Trentino-Alto Adige, Italy",White Wine,90,This wine offers fresh green apple aromas and is lively and fruity on the palate with a white pepper finish. 
Abbazia di Novacella Kerner 2007,"Trentino-Alto Adige, Italy",White Wine,91,"The color goes from pale straw yellow with green highlights to pale gold; fruit and citrusy aromas; fresh and full-bodied. Perfect for antipasti, and shellfish based dishes.  "
Abbazia di Novacella Kerner 2016,"Trentino-Alto Adige, Italy",White Wine,91,"An aromatic white wine, which has become a speciality of the Eisack Valley: pale straw yellow with green reflexes, apple and peach fruit on the nose with a hint of mango, ripe and full on the palate, its opulence cut by crisp acidity."
Abbazia di Novacella Kerner 2017,"Trentino-Alto Adige, Italy",White Wine,94,"100% Kerner from gravelly marine soils planted at 600-750m in elevation. Vinified in stainless steel tanks using indigenous yeasts, then aged 6 months in stainless steel tanks."
Abbazia di Novacella Kerner 2019,"Trentino-Alto Adige, Italy",White Wine,91,"A particular specialty of the Valle Isarco. Greenish to bright yellow in color. Peaches, apricots, and tones of tangerines on the nose. Very lively, juicy, and sleek on the palate, with a mineral-rich finish."
Abbazia di Novacella Lagrein 2007,"Trentino-Alto Adige, Italy",Red Wine,92,"Intense ruby red color leaning toward garnet. Pleasant aromas of fruit, vanilla and violet with a full bodied flavor. Perfect for roasted lamb and goat as well as aged cheeses.   "
Abbazia di Novacella Lagrein 2010,"Trentino-Alto Adige, Italy",Red Wine,90,"Intensely deep in color, almost black tinged with purple. Very open on the nose with concentrated aromas of violets, blackberries and black cherries all meshed with savory flavors, coffee and dark chocolate; supple youthful tannins and superb length."
Abbazia di Novacella Lagrein 2013,"Trentino-Alto Adige, Italy",Red Wine,89,"Intensely deep in color, almost black tinged with purple. Very open on the nose with concentrated aromas of violets, blackberries and black cherries all meshed with savory flavors, coffee and dark chocolate; supple youthful tannins and superb length. "
Abbazia di Novacella Pinot Grigio 2011,"Trentino-Alto Adige, Italy",White Wine,90,"The color is a combination of yellow with green hues. Fruity aromas of peach and banana with notes of honey, caramel and hazelnuts. Soft full-bodied, pleasant and well balanced. Perfect for egg based dishes, boiled poultry and steamed fresh or salt water fish.   "
Abbazia di Novacella Pinot Grigio 2013,"Trentino-Alto Adige, Italy",White Wine,91,"Pale straw yellow in color with an attractive aroma of citrus fruits, peach and honeydew melon. A medium-rich wine that is fruity and direct on the palate with orchard fruit flavors and tangy acidity on the finish."
Abbazia di Novacella Pinot Grigio 2014,"Trentino-Alto Adige, Italy",White Wine,90,"Pale straw yellow in color with an attractive aroma of citrus fruits, peach and honeydew melon; medium rich, fruity and direct on the palate with orchard fruit flavors and tangy acidity on the finish. "
Abbazia di Novacella Pinot Grigio 2015,"Trentino-Alto Adige, Italy",White Wine,90,"Straw yellow color. Nice, small intestine; the nose, the bouquet often gives off fine aromas of lime blossom, pear or banana. Well-balanced, rich in extracts. Full and elegant."
Abbazia di Novacella Pinot Grigio 2018,"Trentino-Alto Adige, Italy",White Wine,90,"Pale straw yellow in color with an attractive aroma of citrus fruits, peach and honeydew melon; medium rich, fruity and direct on the palate with orchard fruit flavors and tangy acidity on the finish. "
Abbazia di Novacella Pinot Grigio 2019,"Trentino-Alto Adige, Italy",White Wine,92,"Pale straw yellow in colour with an attractive aroma of citrus fruits, peach and honeydew melon; medium rich, fruity and direct on the palate with orchard fruit flavours and tangy acidity on the finish. "
Abbazia di Novacella Praepositus Kerner 2013,"Trentino-Alto Adige, Italy",White Wine,92,The best selection of fruit is comprised in Praepsositus Kerner.
Abbazia di Novacella Praepositus Kerner 2014,"Trentino-Alto Adige, Italy",White Wine,91,"The color goes from pale straw yellow with green highlights to pale gold. Strong aromas of apple, aromatic herbs and tropical fruits. Full minerally and almost salty on the palate, it is very eloquent in its deep, mouthfilling finish."
Abbazia di Novacella Praepositus Kerner 2015,"Trentino-Alto Adige, Italy",White Wine,95,#7 
Abbazia di Novacella Sylvaner 2008,"Trentino-Alto Adige, Italy",White Wine,87,"The origin of the Sylvaner grape can possibly be traced back to the 1600's where it was brought form Transylvania to Alto-Adige hence its name. The vine is also said to have originated from Germany and Austria. The grapes require the perfect orientation, climate and altitude to produce a high quality wine. "
Abbona Barolo Ravera 2015,"Barolo, Piedmont, Italy",Red Wine,92,"An intense garnet red with orange reflections, this wine develops aromas of rose, fruit infused spirits, vanilla, and spices. Opulent and intense body, rich with round, austere tannins, it has great drinkability."
Abbona Papa Celso Dolcetto 2015,"Piedmont, Italy",Red Wine,90,"The 2015 harvest has created a Pap? Celso with a remarkable structure, body and roundness. The color is very rich and bright due to the ripeness achieved in the year. The aromas are fresh, fruity, intense and herbal offering a reminder of eucalyptus, red fruit, floral notes together with the classic final note of almond; the mouth is harmonious, balanced with good tannins, a well-marked body and good acidity typical of Pap? Celso. It can evolve positively in the bottle for several years to follow."
Abbona Pressenda Barolo 2007,"Barolo, Piedmont, Italy",Red Wine,93,Grapes are hand harvested and sorted upon arrival at the winery followed by a 7-8 day maceration in stainless steel tanks. They are then fermented in rotofermenters. After malolactic fermentation the wine is racked and aged for 12 months in French oak and then for an additional 24 months in large French casks. 
Abbona Pressenda Barolo 2008,"Barolo, Piedmont, Italy",Red Wine,91,"Great structure, persistent and solid with a long finish. It is velvety and dry. Pair with Agnotti pasta with truffles, first course with rabbit sauce, aged tome cheese Excellent with game, red meats, truffle dishes and aged cheeses and roast beef with Roquefort sauce."
Abbona Pressenda Barolo 2010,"Barolo, Piedmont, Italy",Red Wine,92,"Soils from this hillside site in the Monforte d'Alba commune of Barolo are loose which produce a bold style Barolo with longer aging potential. Great structure, persistent and solid with a long finish. It is velvety and dry. "
Abbona Pressenda Barolo 2011,"Barolo, Piedmont, Italy",Red Wine,90,"Pressenda is a spectacular vineyard overlooking the Castle of Serralunga d¡¯Alba, located in the cru Castelletto of Monforte d¡¯Alba.The wine is ready to develop in the bottle, yet is already enjoyable thanks to the natural acidic component that refreshes the palate. "
Abbona Pressenda Barolo 2012,"Barolo, Piedmont, Italy",Red Wine,92,"With great structure and drinkability, its flavors evolve from mint and violet to raspberry and spices. In the mouth, it is solid and persistent. Able to withstand time, this wine pairs well with important dishes. "
Abbona Pressenda Barolo 2013,"Barolo, Piedmont, Italy",Red Wine,90,"With great structure and drinkability, its flavors evolve from mint and violet to raspberry and spices. In the mouth, it is solid and persistent. Able to withstand time, this wine pairs well with important dishes. "
Abbona Rinaldi Barbera d'Alba 2013,"Alba, Piedmont, Italy",Red Wine,90,"Rinaldi is the perfect example of a Barbera d¡¯Alba with a notable strength. As is typical for the variety, this wine has a great acidic ¡°backbone¡± that guarantees a pleasant, easy drink. Brief time spent in medium oak barrels rounds out the palate and gives it pleasing, balanced tannins. Already drinking well, it has potential to age for several years in the bottle."
Abbona Rinaldi Barbera d'Alba 2015,"Alba, Piedmont, Italy",Red Wine,90,"With a notable strength to its taste, this wine has a great acidic ""backbone"" that guarantees a pleasant, easy drink. The time spent in oak barrels rounds out the palate and gives it pleasing, balanced tannins. It drinks well young, yet also has potential to age well for several years in the bottle."
Abbona Terlo Ravera Barolo 2007,"Barolo, Piedmont, Italy",Red Wine,91,"Terlo Ravera is dominated by juicy, ripe berry fruit, leather, earthiness and spice. The firm tannic structure is supported by great acidity. Powerful, extracted, with a long-lasting finish this wine from a stellar vintage will age marvelously for years to come."
Abbona Terlo Ravera Barolo 2009,"Barolo, Piedmont, Italy",Red Wine,93,"Terlo Ravera is dominated by juicy, ripe berry fruit, leather, earthiness and spice. The firm tannic structure is supported by great acidity. Powerful, extracted, with a long-lasting finish this wine from a stellar vintage will age marvelously for years to come."
Abbona Terlo Ravera Barolo 2010,"Barolo, Piedmont, Italy",Red Wine,93,"Terlo Ravera is dominated by juicy, ripe berry fruit, leather, earthiness and spice. The firm tannic structure is supported by great acidity. Powerful, extracted, with a long-lasting finish this wine from a stellar vintage will age marvelously for years to come."
Abbona Terlo Ravera Barolo 2011,"Barolo, Piedmont, Italy",Red Wine,90,"The 2011 vintage was rather warm, which led to fruity and soft characteristics in the aroma and in the mouth. Ravera 2011 is ideal for someone who would like a great Barolo, but does not want to wait years to open it. Note that with this vintage and in the future, this Barolo, which was called Barolo Terlo Ravera in the past, will be simply called Ravera. This is in order to match the provisions of the cru in the MGA (Menzioni Geografiche Aggiuntive), which details the vineyards of the territory, including these two crus under one name."
Abbona Terlo Ravera Barolo 2012,"Barolo, Piedmont, Italy",Red Wine,93,"From Novello¡¯s best known vineyard Abbona gets their Barolo Ravera. The 2012 vintage, thanks to the thermal excursions of the final step of vegetative season, strengthens the floral scents and red fruits hints with spicy and delicate notes. The dominant taste notes are oriented towards freshness, elegance and overall balance. The long persistence is characterized by a noble and round tannins. An ideal wine for combining seasoned cheese and red meat."
Abeja Cabernet Sauvignon 2006,"Columbia Valley, Washington",Red Wine,91,"Gorgeous, refined and supple, this is our flagship wine from a vintage defined by elegance and grace ? picture a dancer. The 2006 growing season started with a mild spring but finished with an usually dry, hot summer. This led to earlier-than-usual flavor maturity, and while we had hoped for the corresponding lower-than-normal sugar levels as well, the result was actually the development of bright higher tone characters and a beautiful clear fruit profile. A good splash of Merlot adds roundness and silkiness, and the bright fruit lends itself to a smooth, polished mid-palate. These elements make for a pretty, lush wine that is approachable and delicious upon release. The age of the vines, seventy-five percent of which are twenty years or older, contributes to its aging potential. "
Abeja Cabernet Sauvignon 2012,"Columbia Valley, Washington",Red Wine,91,"This is a beautiful, expressive, balanced Cabernet Sauvignon. Blackberry, black cherry, and blueberry, characters come together with nice weight and pretty notes of vanilla bean. Hints of cinnamon stick, dark earth, and pine sap add depth and complexity to a proper amount of fruit. This wine has an extra-silky texture on the palate, with refined tannins. The continuity from the nose to the mouth and all the way through the long finish is exactly what Abeja works so hard to create in all of their wines. It has an ideal combination of acid, tannin, and structure for excellent aging potential."
